bump_region_mse,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,flat_region_mse,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,outside_bump_mse,relative_to_constant_mse,reselection_seconds,seed,selection_seconds,step,target,target_variance,total_gradient_cosine,total_gradient_mse,training_loss,transition_mse,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
0.03482111170887947,,,,7.744361917022616,,0.9999117975287425,3.2840754593912853e-10,0.018257694314032343,0.0051597910933196545,calibrated,0.000500962371006608,0.23259693597385347,0.0,1,0.0051597910933196545,2000,bump,0.004668275360018015,0.986123924829417,5.61175846656181e-08,0.00038137787487357855,,0.001085826545022428,0.9862387248612833,5.6647379096830264e-05
0.04002238065004349,,,,7.976756291929632,,0.9998889249206364,6.735927085882379e-10,0.01596244131455399,0.0051597910933196545,adaptive,0.00038170572952367365,0.2264731480008319,0.09762924537062645,1,0.1027890364639461,2000,bump,0.004668275360018015,0.8056158578736689,1.08785256157531e-06,0.0005260678008198738,,0.0010572390165179968,0.8065282472336305,0.0001062423107214272
,,,,1.3075695419684052,,0.9999999999999971,0.0,0.0,0.0,fp32,,0.0003617209244336254,0.0,1,0.0,2000,composition,0.7234727740287781,0.9999999999999971,0.0,0.000438497809227556,,0.000261695240624249,0.9999999999999971,0.0
,,,,7.464162249816582,,0.999687779113033,1.0028393969053581e-09,0.0,0.0,fixed-e4m3,,0.0007625735924422503,0.0,1,0.0,2000,composition,0.7234727740287781,-0.728002350808073,7.117547397751913e-05,0.00039924023440107703,,0.0005517012323252857,-0.7288295517143281,0.002034917240962386
,,,,8.39326124987565,,0.9988309637498339,7.61060752161628e-08,0.0,0.0,fixed-e5m2,,0.003976482539054046,0.0,1,0.0,2000,composition,0.7234727740287781,0.4014342249173433,0.00019244135519591856,0.0020791268907487392,,0.0028768768534064293,0.40098626582303,0.0142893698066473
,,,,8.929055500077084,,0.9986420701455467,2.570962756854654e-08,0.0,0.0,fixed-hybrid,,0.0007393573957575632,0.0,1,0.0,2000,composition,0.7234727740287781,0.6249142797632097,8.374437011981727e-06,0.0008801727090030909,,0.0005349049461074173,0.6251609529847245,0.001518312026746571
,,,,8.410434750141576,,0.9999248887079814,2.0957219406009846e-09,0.01606677099634846,0.005879415897652507,calibrated,,0.0006627712534341929,0.0,1,0.005879415897652507,2000,composition,0.7234727740287781,0.9298457609247796,3.5153754711379786e-06,0.0007031784043647349,,0.0004794969572685659,0.9296153452551292,0.00048520692507736385
,,,,8.875266707967967,,0.9999118903902952,4.5431515701623167e-10,0.015440792905581638,0.005879415897652507,adaptive,,0.0008935254027553377,0.10336036328226328,1,0.10923977917991579,2000,composition,0.7234727740287781,-0.2678543542010104,1.2292805039179152e-05,0.0003150220727548003,,0.0006464413017965853,-0.26741111798004313,0.0007663952419534326
,,,,1.5041860409546643,,0.999999999999998,0.0,0.0,0.0,fp32,,3.0865353024141355e-06,0.0,2,0.0,2000,linear,0.4296875,0.999999999999998,0.0,1.4054480743652675e-06,,1.3262456377560738e-06,0.999999999999998,0.0
,,,,10.509604207938537,,0.999570858344556,1.4847950400232172e-12,0.00010432968179447053,0.0,fixed-e4m3,,1.6767140054567292e-05,0.0,2,0.0,2000,linear,0.4296875,-0.6282741193871522,5.314379916070066e-07,4.345793058746494e-06,,7.204630492196884e-06,-0.6272145800746635,0.00026425151736475527
,,,,10.152971707982942,,0.9985646539273835,1.4288414764119047e-11,0.0,0.0,fixed-e5m2,,7.784531705758788e-06,0.0,2,0.0,2000,linear,0.4296875,-0.6980294747460056,1.6284564388048346e-05,3.4384670470899437e-06,,3.3449159673182294e-06,-0.7012687462909485,0.00302474619820714
,,,,9.288298584055156,,0.9987657293183068,1.4123137576660725e-10,0.0,0.0,fixed-hybrid,,3.7370914254676214e-05,0.0,2,0.0,2000,linear,0.4296875,0.7578249801024239,8.401614234859321e-07,1.3389684681897052e-05,,1.6057814718806185e-05,0.7580426942559251,0.00019267511379439384
,,,,8.589930874994025,,0.9999330726320976,1.1167600563353022e-13,0.01596244131455399,0.010131750022992492,calibrated,,5.367573943327774e-06,0.0,2,0.010131750022992492,2000,linear,0.4296875,-0.8166591190237802,4.458050396193203e-08,1.8124144389730645e-06,,2.3063794287736528e-06,-0.8174916321342055,2.116724499501288e-05
,,,,8.696289541898295,,0.9999330726320976,1.1167600563353022e-13,0.01596244131455399,0.010131750022992492,adaptive,,5.367573943327774e-06,0.09858047449961305,2,0.10871222452260554,2000,linear,0.4296875,-0.782369758111284,5.165670730876184e-08,1.8124144389730645e-06,,2.3063794287736528e-06,-0.7831440064675679,2.2309204723569565e-05
,,,,1.3595411661081016,,0.9999999999999982,0.0,0.0,0.0,fp32,,1.5597401667601476e-05,0.0,2,0.0,2000,kink,0.11517699807882309,0.9999999999999982,0.0,1.3017390756431269e-06,3.0762969345232705e-06,1.7964619019039674e-06,0.9999999999999982,0.0
,,,,8.586937708081678,,0.9995822780834458,7.133010651204102e-11,0.00020865936358894105,0.0,fixed-e4m3,,0.00023644924840418512,0.0,2,0.0,2000,kink,0.11517699807882309,0.7722791097009424,2.658857164263203e-07,3.699328954098746e-05,2.240056164737325e-05,2.7233514629187994e-05,0.7734770292980755,0.00011623425234574825
