family,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step,target
relu,1.5369168519973755,-0.9138018091519674,-0.040756898621718086,0.8741140166918436,0.4916178385416667,fixed-hybrid,0.18705240885416666,0.5083821614583334,0.00013129144402531287,0.008870442708333334,0,0.5083821614583334,2000,kink
tanh,1.2231159210205078,-0.6288252274195353,0.06809850285450618,0.7119693954785665,0.9305832584698995,fixed-hybrid,0.2778727213541667,0.4038899739583333,0.0001734414472593926,,0,0.0,2000,kink
silu,1.0158867835998535,-0.5998292366663615,-0.014990643908580145,0.6745101511478424,0.4982761740684509,fixed-hybrid,0.2952473958333333,0.5277506510416666,4.777370243876552e-05,,0,0.0,2000,kink
relu,1.4179182052612305,-0.7667608062426249,-0.03832442065080007,0.8596038619677225,0.4837646484375,calibrated,0.21712239583333334,0.5162353515625,2.3467332842604566e-05,0.004638671875,0,0.5162353515625,0,kink
tanh,1.2084155082702637,-0.6318579316139221,0.04807104977468649,0.695267895857493,0.9306726853052775,calibrated,0.3037516276041667,0.4262288411458333,3.9861678790960774e-05,,0,0.0,0,kink
silu,0.9910652041435242,-0.6183387736479441,-0.007816959172487259,0.6610745390256246,0.4982515474160512,calibrated,0.293212890625,0.5246175130208334,1.2469775356294122e-05,,0,0.0,0,kink
relu,1.5529096126556396,-0.914748469988505,-0.0374715526898702,0.8683997988700867,0.4883626302083333,calibrated,0.18159993489583334,0.5116373697916666,2.2771188014303334e-05,0.0045166015625,0,0.5116373697916666,2000,kink
tanh,1.2218017578125,-0.6269194881121317,0.0646526279548804,0.6961918870608012,0.9310148159662882,calibrated,0.2845865885416667,0.4053548177083333,3.657727938843891e-05,,0,0.0,2000,kink
silu,1.0161421298980713,-0.5888340274492899,-0.016741762558619182,0.677493174870809,0.49742192029953003,calibrated,0.2958984375,0.5327555338541666,1.1460581845312845e-05,,0,0.0,2000,kink
relu,1.4179182052612305,-0.7667608062426249,-0.03832442065080007,0.8596038619677225,0.4837646484375,adaptive,0.21712239583333334,0.5162353515625,2.3467332842604566e-05,0.004638671875,0,0.5162353515625,0,kink
tanh,1.2084155082702637,-0.6318579316139221,0.04807104977468649,0.695267895857493,0.9306726853052775,adaptive,0.3037516276041667,0.4262288411458333,3.9861678790960774e-05,,0,0.0,0,kink
silu,0.9910652041435242,-0.6183387736479441,-0.007816959172487259,0.6610745390256246,0.4982515474160512,adaptive,0.293212890625,0.5246175130208334,1.2469775356294122e-05,,0,0.0,0,kink
relu,1.546775460243225,-0.9105732440948486,-0.038109357158342995,0.874955395857493,0.4872233072916667,adaptive,0.18367513020833334,0.5127766927083334,1.8367491065873764e-05,0.0035400390625,0,0.5127766927083334,2000,kink
tanh,1.2185941934585571,-0.6283751130104065,0.06424623976151149,0.6931532224019369,0.9314446846644083,adaptive,0.285400390625,0.4070638020833333,4.358326865864607e-05,,0,0.0,2000,kink
silu,1.0184564590454102,-0.5850103894869486,-0.015063255714873472,0.672582228978475,0.498051385084788,adaptive,0.2993977864583333,0.5291748046875,1.0950786418106873e-05,,0,0.0,2000,kink
relu,1.2178441286087036,-0.7005379796028137,0.053921377286314964,0.8960752089818319,0.564208984375,fp32,0.1920166015625,0.435791015625,0.0,0.0,0,0.435791015625,0,plateau
tanh,1.659015417098999,-0.7696223457654318,0.024897945423920948,0.7878915071487427,0.9122447371482849,fp32,0.2607828776041667,0.4622802734375,0.0,,0,0.0,0,plateau
silu,1.2325327396392822,-0.7773050665855408,-0.015539183436582485,0.7705615957578024,0.4977978765964508,fp32,0.28515625,0.5191650390625,0.0,,0,0.0,0,plateau
relu,3.4729321002960205,-1.3715375661849976,0.04567289228240649,1.8525793155034382,0.5201416015625,fp32,0.09895833333333333,0.4798583984375,0.0,0.0,0,0.4798583984375,2000,plateau
tanh,6.855518341064453,-1.8587872783342998,0.03715278208255768,2.048662265141805,0.8126288652420044,fp32,0.162109375,0.46923828125,0.0,,0,0.009928385416666666,2000,plateau
silu,3.9516077041625977,-1.2683106263478596,0.011556722223758698,1.4076313972473145,0.5172837475935618,fp32,0.218505859375,0.4830322265625,0.0,,0,0.0022786458333333335,2000,plateau
relu,1.2296594381332397,-0.7078060706456503,0.05013213182489077,0.8924315969149271,0.5620930989583334,fixed-e4m3,0.1904296875,0.4379069010416667,8.38836397936878e-05,0.007486979166666667,0,0.4379069010416667,0,plateau
tanh,1.6581021547317505,-0.7670306166013082,0.024814489918450516,0.7864467899004618,0.9121525486310323,fixed-e4m3,0.2571207682291667,0.46435546875,0.00014765941159566864,,0,0.0,0,plateau
silu,1.2537336349487305,-0.7708904345830282,-0.017941658695538838,0.7663929065068563,0.49718480308850604,fixed-e4m3,0.2880859375,0.523681640625,5.211270763538778e-05,,0,4.0690104166666664e-05,0,plateau
relu,3.370535135269165,-1.378052016099294,0.04530834903319677,1.8258548577626545,0.5200602213541666,fixed-e4m3,0.10502115885416667,0.4799397786458333,0.00015076663476065733,0.005818684895833333,0,0.4799397786458333,2000,plateau
