arrays_that_changed,clipped_count,e3m4_element_fraction,e3m4_final_arrays,e3m4_initial_arrays,e4m3_element_fraction,e4m3_final_arrays,e4m3_initial_arrays,e5m2_element_fraction,e5m2_final_arrays,e5m2_initial_arrays,format_switches,kind,mean_squared_rounding_error,mode,quantized_elements,reselection_opportunities,scale_max,scale_min,seed,target,zeroed_fraction
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.494668528756547e-06,fixed-e4m3,19170000,0,0.001953125,0.0001220703125,2,linear,1.8779342723004696e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,5.6421671907439135e-11,fixed-e4m3,19170000,0,0.000244140625,1.862645149230957e-09,2,linear,4.908711528429838e-05
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,2.936561964964231e-05,fixed-e5m2,19170000,0,1.52587890625e-05,9.5367431640625e-07,2,linear,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,4.716740643813428e-10,fixed-e5m2,19170000,0,1.9073486328125e-06,1.4551915228366852e-11,2,linear,0.0
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.501098204109961e-06,fixed-hybrid,19170000,0,0.001953125,0.0001220703125,2,linear,2.5039123630672925e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.809115817920686e-10,fixed-hybrid,19170000,0,1.9073486328125e-06,1.4551915228366852e-11,2,linear,0.0
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,1.930102798750953e-06,calibrated,19170000,0,0.0625,0.00390625,2,linear,0.0009849765258215962
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,gradient,1.2345360653882623e-11,calibrated,19170000,0,0.00390625,2.9802322387695312e-08,2,linear,0.012636254564423579
1,0,0.9999008868022953,15,16,9.9113197704747e-05,1,0,0.0,0,0,1,weight,1.930088456466844e-06,adaptive,19170000,304,0.0625,0.0001220703125,2,linear,0.0009849765258215962
1,0,0.999963484611372,16,16,3.6515388628064685e-05,0,0,0.0,0,0,10,gradient,1.2612872973389134e-11,adaptive,19170000,304,0.00390625,1.4901161193847656e-08,2,linear,0.012636254564423579
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.619060355577676e-06,fixed-e4m3,19170000,0,0.001953125,0.0001220703125,2,kink,3.599374021909233e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,9.549229728170933e-11,fixed-e4m3,19170000,0,0.00048828125,2.9103830456733704e-11,2,kink,5.852895148669796e-05
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.126770464659338e-05,fixed-e5m2,19170000,0,1.52587890625e-05,9.5367431640625e-07,2,kink,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,3.6935805315458665e-10,fixed-e5m2,19170000,0,3.814697265625e-06,7.275957614183426e-12,2,kink,5.2164840897235266e-08
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.575815098475182e-06,fixed-hybrid,19170000,0,0.001953125,0.0001220703125,2,kink,4.590505998956703e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,3.254922824628652e-10,fixed-hybrid,19170000,0,3.814697265625e-06,7.275957614183426e-12,2,kink,0.0
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,1.933608237749914e-06,calibrated,19170000,0,0.0625,0.00390625,2,kink,0.0010050599895670318
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,gradient,1.4297124820723824e-11,calibrated,19170000,0,0.015625,1.4901161193847656e-08,2,kink,0.015483307250912884
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,1.9336060072898435e-06,adaptive,19170000,304,0.0625,0.00390625,2,kink,0.0010050599895670318
