confirmation_step,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,ever_sustained,final_three_pass,first_crossing_step,gain,gradient_probe_seconds,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,training_seconds,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
3500,0.009975417517125607,2.458248287439367e-05,0.0032109952824943637,12.96509616705589,True,True,2500,1.0,0.015569672686979175,0.9999999999999972,0.0,0.0,0.0,fp32,0.0,13,0.0,20000,detail,0.9999999999999972,0.0,1.307585364429542e-07,12.637811294523999,1.7560472542754724e-07,0.9999999999999972,0.0
7500,0.010453127324581146,0.00045312732458114603,0.013440242236412242,58.719399749999866,True,True,6500,1.0,0.016702750697731972,0.9999143767393147,1.71178946436756e-13,0.04219074972764188,0.0,fixed-e3m4,0.0,13,0.0,20000,detail,-0.712808060593735,7.29083733332377e-08,2.283431513205869e-06,57.96053628693335,1.738679770824092e-06,-0.7114197297021475,5.586719998973422e-05
8500,0.009223490953445435,0.0007765090465545656,0.04440436089580628,58.532862207852304,True,True,7500,1.0,0.017435580492019653,0.999606638827845,1.762993400601728e-12,0.00019807863721897593,0.0,fixed-e4m3,0.0,13,0.0,20000,detail,-0.26699154107879036,2.1949510506686616e-08,5.790599971078336e-06,57.77638833853416,5.0044031922880094e-06,-0.26678061768893163,6.73234389978461e-05
17000,0.009578118100762367,0.00042188189923763296,0.10855936821350581,62.551773875020444,True,True,16000,1.0,0.018432004377245903,0.9986728595772474,2.696456067366903e-11,0.0,0.0,fixed-e5m2,0.0,13,0.0,20000,detail,-0.702906530951412,1.402267533401182e-07,2.373758252360858e-05,61.73902369174175,1.3303459127200767e-05,-0.7005915337358234,0.00014316130545921624
6500,0.008711421862244606,0.0012885781377553942,0.052256577749804585,57.05416141706519,True,True,5500,1.0,0.016970875207334757,0.9988762263159924,5.102421002185375e-12,0.0,0.0,fixed-hybrid,0.0,13,0.0,20000,detail,0.16917744052025718,9.400726058359168e-08,4.925911980535602e-06,56.324245371855795,6.9623947638319805e-06,0.16870038571214047,0.00010691324132494628
7500,0.010453127324581146,0.00045312732458114603,0.013440242236412242,58.3915626660455,True,True,6500,1.0,0.016136748483404517,0.9999143767393147,1.71178946436756e-13,0.04219074972764188,0.006393082905560732,calibrated,0.0,13,0.006393082905560732,20000,detail,-0.712808060593735,7.29083733332377e-08,2.283431513205869e-06,57.66319482936524,1.738679770824092e-06,-0.7114197297021475,5.586719998973422e-05
7500,0.010453127324581146,0.00045312732458114603,0.013440242236412242,58.10226424993016,True,True,6500,1.0,0.01625270559452474,0.9999143767393147,1.71178946436756e-13,0.04219074972764188,0.006393082905560732,adaptive,1.0141230237204581,13,1.0205161066260189,20000,detail,-0.7221475900799319,1.1254615379044999e-07,2.283431513205869e-06,57.3851027644705,1.738679770824092e-06,-0.7208601001944045,7.549842848675326e-05
3500,0.009965728037059307,3.427196294069311e-05,0.003777975802267352,12.64267325005494,True,True,2500,1.0,0.01535424729809165,0.9999999999999976,0.0,0.0,0.0,fp32,0.0,14,0.0,20000,detail,0.9999999999999976,0.0,1.92275564359079e-07,12.318675865419209,2.005627663947962e-07,0.9999999999999976,0.0
8500,0.010188991203904152,0.0001889912039041517,0.018872514496767957,63.40366641595028,True,True,7500,1.0,0.018701707012951374,0.9999122491925633,2.7298916075142647e-13,0.034861840150539766,0.0,fixed-e3m4,0.0,14,0.0,20000,detail,-0.0014053632499404416,1.6921170190669645e-08,2.0126933577557793e-06,62.59345754957758,1.5738251022412442e-06,-0.0018680413007497816,4.48380560555961e-05
5000,0.0100511210039258,5.1121003925800115e-05,0.03114200305971423,56.33167054201476,True,True,4000,1.0,0.01636554184369743,0.9996469838909383,1.100008674155329e-12,9.903931860948797e-05,0.0,fixed-e4m3,0.0,14,0.0,20000,detail,-0.2865298116225088,1.2354243217667695e-07,3.604281118896324e-06,55.599886065814644,2.6832838102563983e-06,-0.28684314018981055,0.00010617115185596049
10500,0.009897829964756966,0.00010217003524303457,0.10001032226654752,57.15678216703236,True,False,9500,1.0,0.01659062854014337,0.9984440912934508,1.0514106305461051e-11,0.0,0.0,fixed-e5m2,0.0,14,0.0,20000,detail,-0.032385766174172465,1.337032654784841e-06,1.3563549146056175e-05,56.410867707571015,1.3706714526051655e-05,-0.041570515626873535,0.0008990892674773932
